[23:00:21] [Yara DETECT] File: C:\Windows\assembly\NativeImages_v2.0.50727_64\System.Management.A#\61d3433b0bdde9309f0c6382a1168385\System.Management.Automation.ni.dll | Rules Matched: Suspicious_PowerShell_Loader
[23:00:23] [Yara DETECT] File: C:\Windows\assembly\NativeImages_v4.0.30319_64\Microsoft.P521220ea#\152aa9a6d23f8ee37af16554ddecb17d\Microsoft.PowerShell.Commands.Utility.ni.dll | Rules Matched: Suspicious_PowerShell_Loader
[23:00:25] [Yara DETECT] File: C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\eda57493feda1c9930337a6de3cd461e\System.Management.Automation.ni.dll | Rules Matched: Suspicious_PowerShell_Loader
[23:00:28] [Yara DETECT] File: C:\Windows\Microsoft.NET\assembly\GAC_MSIL\Microsoft.PowerShell.Commands.Utility\v4.0_3.0.0.0__31bf3856ad364e35\Microsoft.PowerShell.Commands.Utility.dll | Rules Matched: Suspicious_PowerShell_Loader
[23:00:28] [Yara DETECT] File: C:\Windows\Microsoft.NET\assembly\GAC_MSIL\System.Management.Automation\v4.0_3.0.0.0__31bf3856ad364e35\System.Management.Automation.dll | Rules Matched: Suspicious_PowerShell_Loader
[23:00:38] Initial Yara scan complete. Scanned 11447 files, matched 69 files.
[23:00:38] Initial full-drive Yara scan finished. Continuing to monitor for file changes.
[23:08:43] Preparing Yara scan for: C:\, C:\Config.Msi
[23:08:44] [Yara DETECT] File: C:\Nexon\EA SPORTS(TM) FC ONLINE\chrome_elf.dll | Rules Matched: PE_Process_Injection_Toolmark
[23:08:44] [Yara DETECT] File: C:\Nexon\NexonPlug\chrome_elf.dll | Rules Matched: PE_Process_Injection_Toolmark
[23:08:45] [Yara DETECT] File: C:\Program Files\BlueStacks_nxt\BlueStacksAppplayerWeb.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:48] [Yara DETECT] File: C:\Program Files\Git\mingw64\bin\gcmcore.dll | Rules Matched: Suspicious_PowerShell_Loader
[23:08:48] [Yara DETECT] File: C:\Program Files\Git\mingw64\bin\git-lfs.exe | Rules Matched: Suspicious_PowerShell_Loader
[23:08:48] [Yara DETECT] File: C:\Program Files\Git\mingw64\libexec\git-core\gcmcore.dll | Rules Matched: Suspicious_PowerShell_Loader
[23:08:49] [Yara DETECT] File: C:\Program Files\Git\usr\bin\msys-2.0.dll | Rules Matched: PE_Process_Injection_Toolmark
[23:08:50] [Yara DETECT] File: C:\Program Files\GitExtensions\GitUI.dll | Rules Matched: Suspicious_PowerShell_Loader
[23:08:50] [Yara DETECT] File: C:\Program Files\GitExtensions\ConEmu\ConEmuCD.dll | Rules Matched: PE_Process_Injection_Toolmark
[23:08:50] [Yara DETECT] File: C:\Program Files\GitExtensions\ConEmu\ConEmuCD64.dll | Rules Matched: PE_Process_Injection_Toolmark
[23:08:50] [Yara DETECT] File: C:\Program Files\Google\Chrome\Application\chrome.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:50] [Yara DETECT] File: C:\Program Files\Google\Chrome\Application\new_chrome.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:54] [Yara DETECT] File: C:\Program Files (x86)\BlueStacks X\BlueStacksWeb.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:56] [Yara DETECT] File: C:\Program Files (x86)\ESTsoft\ALToolsManager\TaskbarPin.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:56] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:56] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\Edge\Application\146.0.3856.97\mscopilot.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:56] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\Edge\Application\146.0.3856.97\msedge.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:56] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\Edge\Application\146.0.3856.97\msedgewebview2.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:57] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\146.0.3856.84\mscopilot.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:57] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\146.0.3856.84\msedge.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:57] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\146.0.3856.84\msedgewebview2.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:58] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\146.0.3856.97\mscopilot.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:58] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\146.0.3856.97\msedge.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:58] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\146.0.3856.97\msedgewebview2.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:58] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\Optimized\mscopilot.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:58] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\Optimized\msedge.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:58] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\Optimized\msedgewebview2.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:59] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.84\mscopilot.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:59] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.84\msedge.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:59] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.84\msedgewebview2.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:59] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.97\mscopilot.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:59] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.97\msedge.exe | Rules Matched: PE_Process_Injection_Toolmark
[23:08:59] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.97\msedgewebview2.exe | Rules Matched: PE_Process_Injection_Toolmark
